TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;20.54;;-75.24;2.1;0.96;31.73;5.79;-2.87;37.27;47.7;10.43;0.59;2.16;-30.62;-1.17;0.85;-2.79;-1.27;2.7;0.46;0.53;0.44;3.62;;5695769.75;9.8;-0.27;1.48;2429734440.64
ABCB4;17.7;6.49;5.83;0.81;0.08;16.6;11.66;10.08;5.04;5.04;;;0.59;7.88;-0.08;1.25;13.99;1.35;;0.1;0.9;0.13;7.15;11.89;11557927.11;21.72;3.04;0.1;4001795088.6
ABEV3;15.14;3.99;17.61;2.76;1.75;49.91;22.47;17.6;13.79;13.07;-0.72;-0.14;3.1;54.93;-2.42;1.13;15.7;9.91;18.74;0.63;0.36;0.56;9.82;1.54;391257859.96;5.48;0.86;-2.49;238458283124.14
AERI3;3.28;0.63;53.03;2.53;0.81;11.08;8.41;2.02;12.74;16.45;3.71;0.73;1.07;2.04;-2.23;2.65;4.76;1.53;7.66;0.32;0.68;0.76;;;8678471.64;1.3;0.06;-0.88;2513180135.68
AESB3;10.15;1.06;10.57;1.53;0.35;23.57;15.63;18.74;12.68;24.12;11.45;1.38;1.98;1.97;-0.49;2.75;14.43;3.33;-1.42;0.23;0.68;0.18;;;13.409.583,00;6.65;0.96;;4994880924.25
AGRO3;25.18;18.42;3.2;1.04;0.74;39.85;35.81;58.48;5.22;5.36;0.14;0.03;1.87;1.81;-1.51;4.91;32.67;23.09;14.65;0.71;0.29;0.39;55.29;151.67;12558616.57;24.12;7.88;0.01;2577853061.44
AGXY3;8.3;2.02;16;1.01;0.16;11.21;3.14;1.04;5.3;9.13;3.84;0.73;0.17;3.92;-0.9;1.05;6.32;0.99;7.19;0.16;0.84;0.95;;;662155.68;8.2;0.52;;1417847408.7
ALLD3;12.05;11.05;4.25;0.73;0.28;13.72;6.66;4.42;2.82;3.55;0.73;0.19;0.19;1.24;-0.94;1.48;17.24;6.66;19.9;0.39;0.61;1.51;;;561547.79;16.45;2.84;0.15;1123308013.1
ALPA4;19.73;2.21;24.61;2.35;1.77;47.38;10.98;13.9;31.14;28.91;-0.11;-0.01;3.42;9.85;-2.92;1.83;9.55;7.18;6.4;0.75;0.25;0.52;-0.53;8.66;90116144.11;8.39;0.8;0.29;12560138779.76
ALPK3;2.84;;-3.01;1.19;0.24;26.64;0.11;-22.18;583.87;1816.47;1232.6;2.51;0.67;-1.17;-0.26;0.29;-39.61;-8.01;-0.09;0.2;0.8;0.36;;;950319.75;2.39;-0.94;0.82;608971325.32
ALSO3;19;2.02;17.48;0.74;0.43;69.41;55.68;28.66;9;5.75;-3.24;-0.27;5.01;2.99;-0.54;3.64;4.23;2.48;6.45;0.58;0.32;0.09;22.33;24.57;27109140.75;25.69;1.09;0.1;5.049.682.782,00
ALUP11;28.59;4.3;7.83;1.15;0.31;78.93;74.42;22.57;2.37;4.77;2.4;1.16;1.77;2.69;-0.38;2.73;14.7;3.94;13.68;0.27;0.6;0.17;27.49;28.06;39284154.18;24.85;3.65;-0.38;8377930393.57
AMAR3;2.73;;-6.29;0.86;0.28;44.23;-0.85;-5.52;-41.02;-97.61;-56.59;1.18;0.35;2.3;-0.56;1.32;-13.62;-4.46;-4.51;0.33;0.67;0.81;-2.41;;9904206.18;3.19;-0.43;;935941106.1
AMBP3;30.1;1.01;21.36;3.29;0.57;21.59;16.99;6.58;8.27;13.77;5.51;2.19;1.4;2.69;-0.93;2.26;15.4;2.68;7.1;0.17;0.8;0.41;;;27523212.93;9.15;1.41;0.15;3399361198.8
AMER3;14.69;4.23;23.38;0.87;0.3;30.11;4.29;2.15;11.72;18.96;7.24;0.54;0.5;1.52;-0.57;1.76;3.72;1.3;1.98;0.35;0.65;0.61;21.42;;240747482.11;16.9;0.63;-0.07;13.325.547.261,00
ANIM3;5.4;;-9.49;0.76;0.2;55.89;11.91;-7.33;5.84;15.77;9.93;1.3;0.7;2.36;-0.25;1.7;-8.06;-2.12;3.79;0.26;0.7;0.29;22.51;;13793970.89;7.06;-0.57;0.01;2.180.891.547,00
APER3;30.5;0.23;74.06;1.17;0.66;100;7.36;2.85;28.68;21.89;-6.79;-0.28;2.11;9.79;-0.89;1.34;1.58;0.88;3.83;0.56;0.44;0.31;4.5;;1151279.96;26.02;0.41;0.02;350.144.087,00
ARML3;15.5;1.66;54.47;4.79;1.8;46.13;32.1;14.31;24.28;27.58;3.3;0.65;7.79;5.75;-3.03;4.35;8.79;3.3;6.64;0.38;0.62;0.23;;;4201151.54;3.24;0.28;0.23;5359272575.5
